partial,score
LFA-,0.8602235317230225
YFS-,0.8602212071418762
LVS-,0.8602205514907837
VFR-,0.8601875305175781
TIG-,0.8601635098457336
YLA-,0.8600993156433105
KCA-,0.860000491142273
RYG-,0.8598779439926147
SYK-,0.8598245978355408
LMG-,0.8597548604011536
LFS-,0.8596735000610352
WVG-,0.8596662282943726
MYG-,0.8596583008766174
AYK-,0.8596450090408325
KFT-,0.8595762252807617
GFA-,0.8593738079071045
QMK-,0.8592931032180786
MIK-,0.8591501712799072
IAS-,0.8590831756591797
AIS-,0.8590095639228821
CLS-,0.8589766025543213
RIG-,0.8589547872543335
AVA-,0.8588037490844727
VLN-,0.8587612509727478
YMG-,0.8587579727172852
WLK-,0.8586612939834595
AMK-,0.8585537672042847
QWG-,0.8584822416305542
CYG-,0.8584577441215515
LWG-,0.8584494590759277
KMA-,0.8583648204803467
AYG-,0.8582631349563599
CFS-,0.8581907749176025
WYK-,0.8580858111381531
NFA-,0.8580743074417114
ALS-,0.8579412698745728
KYK-,0.8579012751579285
KMS-,0.8576839566230774
KCG-,0.8575911521911621
LWK-,0.8575714826583862
TLG-,0.8573703169822693
SVK-,0.8573516607284546
RYA-,0.857271671295166
KFM-,0.8571730852127075
FWK-,0.8569893836975098
KAQ-,0.8250119090080261
VWP-,0.7835973501205444
KNA-,0.7482764720916748
-WAA,0.7415153980255127
-IGF,0.7413226366043091
-FMF,0.7274473309516907
M-SM,0.7071857452392578
LI-N,0.6874598860740662
-MAE,0.6682648062705994
I-GP,0.6397167444229126
-CAP,0.6307375431060791
WY-D,0.6248103380203247
K-MI,0.5584756135940552
